rho,sigma,rho_sigma,P_mean,Ds_of_mean_P,mean_Ds,absolute_truncation_bound
2.000000000000000111e-01,1.240000000000000000e+02,2.480000000000000071e+01,8.252046498388251536e-03,2.737051737189804879e+00,2.737243350047676049e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.250000000000000000e+02,2.500000000000000000e+01,8.161825347084056964e-03,2.738078385162192152e+00,2.738271158402573846e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.260000000000000000e+02,2.520000000000000284e+01,8.073264757857693402e-03,2.739097676886406152e+00,2.739291617002996837e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.270000000000000000e+02,2.540000000000000213e+01,7.986321690392494260e-03,2.740109675315285820e+00,2.740304788888899168e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.280000000000000000e+02,2.560000000000000142e+01,7.900954542629151645e-03,2.741114438829925781e+00,2.741310732519904647e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.290000000000000000e+02,2.580000000000000071e+01,7.817123092132028175e-03,2.742112021542848943e+00,2.742309502078385641e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.300000000000000000e+02,2.600000000000000000e+01,7.734788440266241252e-03,2.743102473585089740e+00,2.743301147756609382e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.310000000000000000e+02,2.620000000000000284e+01,7.653912959030861364e-03,2.744085841378828938e+00,2.744285716029449151e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.320000000000000000e+02,2.640000000000000213e+01,7.574460240403473911e-03,2.745062167893385308e+00,2.745263249910562475e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.330000000000000000e+02,2.660000000000000142e+01,7.496395048060071863e-03,2.746031492889223991e+00,2.746233789196131703e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.340000000000000000e+02,2.680000000000000071e+01,7.419683271342483039e-03,2.746993853148141262e+00,2.747197370695623864e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.350000000000000000e+02,2.700000000000000000e+01,7.344291881353475632e-03,2.747949282689908568e+00,2.748154028448090980e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.360000000000000000e+02,2.720000000000000284e+01,7.270188889066700813e-03,2.748897812978075450e+00,2.749103793928205253e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.370000000000000000e+02,2.740000000000000213e+01,7.197343305345439181e-03,2.749839473113286026e+00,2.750046696239996979e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.380000000000000000e+02,2.760000000000000142e+01,7.125725102770448689e-03,2.750774290016313017e+00,2.750982762299465811e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.390000000000000000e+02,2.780000000000000071e+01,7.055305179182940617e-03,2.751702288600522017e+00,2.751912017007474454e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.400000000000000000e+02,2.800000000000000000e+01,6.986055322854385283e-03,2.752623491933861466e+00,2.752834483411986888e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.410000000000000000e+02,2.820000000000000284e+01,6.917948179199807923e-03,2.753537921392998911e+00,2.753750182862056306e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.420000000000000000e+02,2.840000000000000213e+01,6.850957218956099312e-03,2.754445596806602392e+00,2.754659135151356519e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.430000000000000000e+02,2.860000000000000142e+01,6.785056707751469657e-03,2.755346536590507878e+00,2.755561358653701109e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.440000000000000000e+02,2.880000000000000071e+01,6.720221676996146823e-03,2.756240757876974090e+00,2.756456870452152597e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.450000000000000000e+02,2.900000000000000000e+01,6.656427896028517359e-03,2.757128276633090902e+00,2.757345686457702616e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.460000000000000000e+02,2.920000000000000284e+01,6.593651845454701760e-03,2.758009107773278235e+00,2.758227821522210021e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.470000000000000000e+02,2.940000000000000213e+01,6.531870691622694396e-03,2.758883265265948737e+00,2.759103289544769577e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.480000000000000000e+02,2.960000000000000142e+01,6.471062262175797213e-03,2.759750762232042298e+00,2.759972103570660806e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.490000000000000000e+02,2.980000000000000071e+01,6.411205022632892638e-03,2.760611611037751434e+00,2.760834275884447297e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.500000000000000000e+02,3.000000000000000000e+01,6.352278053946106527e-03,2.761465823381382023e+00,2.761689818096640714e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.510000000000000000e+02,3.020000000000000284e+01,6.294261030988974187e-03,2.762313410375155875e+00,2.762538741225850192e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.520000000000000000e+02,3.040000000000000213e+01,6.237134201930857533e-03,2.763154382620051308e+00,2.763381055774115413e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.530000000000000000e+02,3.060000000000000142e+01,6.180878368455719821e-03,2.763988750278189244e+00,2.764216771799109740e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.540000000000000000e+02,3.080000000000000071e+01,6.125474866785436505e-03,2.764816523138728055e+00,2.765045898980067474e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.550000000000000000e+02,3.100000000000000000e+01,6.070905549470269336e-03,2.765637710677737005e+00,2.765868446678541037e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.560000000000000000e+02,3.120000000000000284e+01,6.017152767910741509e-03,2.766452322117656681e+00,2.766684423997659792e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.570000000000000000e+02,3.140000000000000213e+01,5.964199355577170895e-03,2.767260366480194023e+00,2.767493839834830105e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.580000000000000000e+02,3.160000000000000142e+01,5.912028611894974521e-03,2.768061852634863929e+00,2.768296702931090092e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.590000000000000000e+02,3.180000000000000071e+01,5.860624286765320733e-03,2.768856789345361946e+00,2.769093021917607533e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.600000000000000000e+02,3.200000000000000000e+01,5.809970565692380330e-03,2.769645185312203939e+00,2.769882805358186317e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.610000000000000000e+02,3.220000000000000284e+01,5.760052055489848707e-03,2.770427049211650949e+00,2.770666061788754408e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.620000000000000000e+02,3.239999999999999858e+01,5.710853770540850853e-03,2.771202389731780347e+00,2.771442799753370156e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.630000000000000000e+02,3.260000000000000142e+01,5.662361119586567515e-03,2.771971215605653072e+00,2.772213027837594268e+00,0.000000000000000000e+00
