sigma,P_chain1,P_chain2,Ds_chain1,Ds_chain2,Ds_chain2_minus_chain1,relative_P_difference
1.030000000000000000e+02,1.521001794547881822e-03,1.519912507315842329e-03,2.782393983657004188e+00,2.787188054406974924e+00,4.794070749970735790e-03,-7.161643306037301926e-04
1.040000000000000000e+02,1.500700060794166353e-03,1.499590724148530283e-03,2.781382738486364303e+00,2.786139153032278326e+00,4.756414545914022796e-03,-7.392127678391702261e-04
1.050000000000000000e+02,1.480866974886936322e-03,1.479738772411282261e-03,2.780332816241129379e+00,2.785048498591995880e+00,4.715682350866501338e-03,-7.618526814268111735e-04
1.060000000000000000e+02,1.461487650824967515e-03,1.460341731325555002e-03,2.779244946672031258e+00,2.783916892960383027e+00,4.671946288351769283e-03,-7.840774424372476403e-04
1.070000000000000000e+02,1.442547803489022465e-03,1.441385281700600885e-03,2.778119842869243961e+00,2.782745120605758515e+00,4.625277736514554761e-03,-8.058809459275950715e-04
1.080000000000000000e+02,1.424033719262721761e-03,1.422855676563262442e-03,2.776958201787985026e+00,2.781533949044030063e+00,4.575747256045037403e-03,-8.272575877411592060e-04
1.090000000000000000e+02,1.405932228337825572e-03,1.404739713469575638e-03,2.775760704753393426e+00,2.780284129278599359e+00,4.523424525205932412e-03,-8.482022420523982476e-04
1.100000000000000000e+02,1.388230678593304224e-03,1.387024708387786954e-03,2.774528017944537961e+00,2.778996396226901311e+00,4.468378282363349996e-03,-8.687102396695012274e-04
1.110000000000000000e+02,1.370916910945759381e-03,1.369698471050599924e-03,2.773260792859740143e+00,2.777671469134062487e+00,4.410676274322344881e-03,-8.887773470668269837e-04
1.120000000000000000e+02,1.353979236076238799e-03,1.352749281681896870e-03,2.771959666763537555e+00,2.776310051974384407e+00,4.350385210846852146e-03,-9.083997461484250024e-04
1.130000000000000000e+02,1.337406412445414378e-03,1.336165869010112620e-03,2.770625263115528814e+00,2.774912833841520321e+00,4.287570725991507459e-03,-9.275740147181021911e-04
1.140000000000000000e+02,1.321187625515407192e-03,1.319937389486700681e-03,2.769258191983081652e+00,2.773480489326745069e+00,4.222297343663417024e-03,-9.462971076638071466e-04
1.150000000000000000e+02,1.305312468102386159e-03,1.304053407634022787e-03,2.767859050437090573e+00,2.772013678886165788e+00,4.154628449075215002e-03,-9.645663388121450410e-04
1.160000000000000000e+02,1.289770921789445751e-03,1.288503877452269134e-03,2.766428422932524001e+00,2.770513049199046396e+00,4.084626266522395355e-03,-9.823793634754496296e-04
1.170000000000000000e+02,1.274553339334194742e-03,1.273279124820013474e-03,2.764966881674510546e+00,2.768979233514063498e+00,4.012351839552952271e-03,-9.997341616529986652e-04
1.180000000000000000e+02,1.259650428010072225e-03,1.258369830827537695e-03,2.763474986969766789e+00,2.767412851987090860e+00,3.937865017324071459e-03,-1.016629021876713779e-03
1.190000000000000000e+02,1.245053233824604949e-03,1.243767015986242718e-03,2.761953287564725912e+00,2.765814512009678428e+00,3.861224444952515711e-03,-1.033062525697125977e-03
1.200000000000000000e+02,1.230753126561711210e-03,1.229462025261371947e-03,2.760402320970918755e+00,2.764184808527817783e+00,3.782487556899027936e-03,-1.049033532781740163e-03
1.210000000000000000e+02,1.216741785598745261e-03,1.215446513878831649e-03,2.758822613777684563e+00,2.762524324352541250e+00,3.701710574856686975e-03,-1.064541166617583023e-03
1.220000000000000000e+02,1.203011186452305776e-03,1.201712433860216813e-03,2.757214681952979696e+00,2.760833630461826615e+00,3.618948508846919765e-03,-1.079584800802280142e-03
1.230000000000000000e+02,1.189553588009893042e-03,1.188252021243213453e-03,2.755579031133250201e+00,2.759113286294562428e+00,3.534255161312227500e-03,-1.094164045906564908e-03
1.240000000000000000e+02,1.176361520407351443e-03,1.175057783947383323e-03,2.753916156902324275e+00,2.757363840036386460e+00,3.447683134062184962e-03,-1.108278736894341421e-03
1.250000000000000000e+02,1.163427773514667330e-03,1.162122490247973101e-03,2.752226545060194152e+00,2.755585828897983536e+00,3.359283837789384108e-03,-1.121928921080317387e-03
1.260000000000000000e+02,1.150745385995132668e-03,1.149439157822815727e-03,2.750510671881664759e+00,2.753779779385955528e+00,3.269107504290769128e-03,-1.135114846615103978e-03
1.270000000000000000e+02,1.138307634905157822e-03,1.137001043339664437e-03,2.748769004365803958e+00,2.751946207566387859e+00,3.177203200583900156e-03,-1.147836951477798628e-03
1.280000000000000000e+02,1.126108025804107128e-03,1.124801632553385682e-03,2.747002000476082451e+00,2.750085619321751551e+00,3.083618845669100494e-03,-1.160095852960951746e-03
1.290000000000000000e+02,1.114140283345501151e-03,1.112834630884393383e-03,2.745210109372235863e+00,2.748198510600473377e+00,2.988401228237513862e-03,-1.171892337639257597e-03
1.300000000000000000e+02,1.102398342322720177e-03,1.101093954451516557e-03,2.743393771634334399e+00,2.746285367660211918e+00,2.891596025877518628e-03,-1.183227351789439830e-03
1.310000000000000000e+02,1.090876339144053724e-03,1.089573721534167847e-03,2.741553419478183873e+00,2.744346667304980336e+00,2.793247826796463329e-03,-1.194101992264329226e-03
1.320000000000000000e+02,1.079568603713497096e-03,1.078268244440254127e-03,2.739689476963519610e+00,2.742382877115380868e+00,2.693400151861258252e-03,-1.204517497794932446e-03
1.330000000000000000e+02,1.068469651695159268e-03,1.067172021757726826e-03,2.737802360195510154e+00,2.740394455673094143e+00,2.592095477583988838e-03,-1.214475240708723369e-03
1.340000000000000000e+02,1.057574177140502497e-03,1.056279730969018633e-03,2.735892477518874433e+00,2.738381852779994574e+00,2.489375261120141403e-03,-1.223976719045727357e-03
1.350000000000000000e+02,1.046877045458913637e-03,1.045586221408884324e-03,2.733960229705498346e+00,2.736345509670397469e+00,2.385279964899122973e-03,-1.233023549067735480e-03
1.360000000000000000e+02,1.036373286713270902e-03,1.035086507547348716e-03,2.732006010136273311e+00,2.734285859218247516e+00,2.279849081974205660e-03,-1.241617458129451457e-03
1.370000000000000000e+02,1.026058089223286143e-03,1.024775762580543755e-03,2.730030204976482633e+00,2.732203326139539534e+00,2.173121163056901395e-03,-1.249760277912792539e-03
1.380000000000000000e+02,1.015926793460423996e-03,1.014649312313262988e-03,2.728033193345883234e+00,2.730098327187996610e+00,2.065133842113375806e-03,-1.257453938004360339e-03
1.390000000000000000e+02,1.005974886219159446e-03,1.004702629318015563e-03,2.726015347482534157e+00,2.727971271346631532e+00,1.955923864097375287e-03,-1.264700459795320420e-03
1.400000000000000000e+02,9.961979950502410867e-04,9.949313273562416203e-04,2.723977032902595408e+00,2.725822560013939189e+00,1.845527111343781002e-03,-1.271501950709685858e-03
1.410000000000000000e+02,9.865918829424418033e-04,9.853311560482137278e-04,2.721918608554350083e+00,2.723652587184839380e+00,1.733978630489296791e-03,-1.277860598718927321e-03
1.420000000000000000e+02,9.771524432401013181e-04,9.758979957789044131e-04,2.719840426966888991e+00,2.721461739627664134e+00,1.621312660775142689e-03,-1.283778667162005505e-03
1.430000000000000000e+02,9.678756947844566237e-04,9.666278528278502910e-04,2.717742834396104534e+00,2.719250397055256840e+00,1.507562659152306139e-03,-1.289258489835520827e-03
1.440000000000000000e+02,9.587577772674676967e-04,9.575168547117239755e-04,2.715626170964060115e+00,2.717018932292405875e+00,1.392761328345759608e-03,-1.294302466343988378e-03
1.450000000000000000e+02,9.497949467874922721e-04,9.485612457289556302e-04,2.713490770795363272e+00,2.714767711438830666e+00,1.276940643467394665e-03,-1.298913057717787645e-03
1.460000000000000000e+02,9.409835715967371185e-04,9.397573826963642307e-04,2.711336962149971885e+00,2.712497094027047861e+00,1.160131877075976092e-03,-1.303092782259929194e-03
1.470000000000000000e+02,9.323201280310119445e-04,9.311017308683093834e-04,2.709165067550605155e+00,2.710207433176820224e+00,1.042365626215069341e-03,-1.306844211629076824e-03
1.480000000000000000e+02,9.238011966128192604e-04,9.225908600294043969e-04,2.706975403907690314e+00,2.707899075745058060e+00,9.236718373677454963e-04,-1.310169967145169423e-03
1.490000000000000000e+02,9.154234583193133351e-04,9.142214407523332857e-04,2.704768282640443999e+00,2.705572362471759806e+00,8.040798313158070698e-04,-1.313072716299990006e-03
1.500000000000000000e+02,9.071836910071339908e-04,9.059902408127693202e-04,2.702544009794467961e+00,2.703227628122053527e+00,6.836183275855667318e-04,-1.315555169471460673e-03
1.510000000000000000e+02,8.990787659865495662e-04,8.978941217538397501e-04,2.700302886156076720e+00,2.700865201624319756e+00,5.623154682430353546e-04,-1.317620076823788899e-03
1.520000000000000000e+02,8.911056447377623110e-04,8.899300355929814013e-04,2.698045207363007236e+00,2.698485406205171522e+00,4.401988421642855087e-04,-1.319270225391577789e-03
1.530000000000000000e+02,8.832613757626098152e-04,8.820950216644232430e-04,2.695771264013013813e+00,2.696088559519590699e+00,3.172955065768867655e-04,-1.320508436338574398e-03
