sigma,P_chain1,P_chain2,Ds_chain1,Ds_chain2,Ds_chain2_minus_chain1,relative_P_difference
7.600000000000000000e+01,2.323033819344337992e-03,2.331432506006029647e-03,2.789370352702623901e+00,2.786946160555705099e+00,-2.424192146918802138e-03,3.615395777605279193e-03
7.700000000000000000e+01,2.281072261584057240e-03,2.289354972869377027e-03,2.789683705513006373e+00,2.787328541526393977e+00,-2.355163986612396343e-03,3.631060455563162037e-03
7.800000000000000000e+01,2.240391350263315311e-03,2.248559980583117977e-03,2.789924211528638676e+00,2.787639212467906802e+00,-2.284999060731873755e-03,3.646072959013535453e-03
7.900000000000000000e+01,2.200937363232788498e-03,2.208993768081433766e-03,2.790093369393827683e+00,2.787879674770420202e+00,-2.213694623407480577e-03,3.660442583796053029e-03
8.000000000000000000e+01,2.162659442116392043e-03,2.170605438459969217e-03,2.790192646003479382e+00,2.788051392482669755e+00,-2.141253520809627275e-03,3.674178277371931145e-03
8.100000000000000000e+01,2.125509407342749194e-03,2.133346774141074102e-03,2.790223477128199292e+00,2.788155793211967826e+00,-2.067683916231466412e-03,3.687288690066514718e-03
8.200000000000000000e+01,2.089441587187693475e-03,2.097172066024765528e-03,2.790187268038519797e+00,2.788194269026191829e+00,-1.992999012327967279e-03,3.699782221467495802e-03
8.300000000000000000e+01,2.054412659612489447e-03,2.062037955413609843e-03,2.790085394127858276e+00,2.788168177354735100e+00,-1.917216773123175955e-03,3.711667062331391875e-03
8.400000000000000000e+01,2.020381505800992582e-03,2.027903287617755304e-03,2.789919201531890991e+00,2.788078841886417081e+00,-1.840359645473910177e-03,3.722951232312254888e-03
8.500000000000000000e+01,1.987309074404702489e-03,1.994728976251717353e-03,2.789690007743707678e+00,2.787927553460242791e+00,-1.762454283464887084e-03,3.733642613813037414e-03
8.600000000000000000e+01,1.955158255599049114e-03,1.962477877328605829e-03,2.789399102223631743e+00,2.787715570948072319e+00,-1.683531275559424500e-03,3.743748982260264313e-03
8.700000000000000000e+01,1.923893764138736098e-03,1.931114672341600197e-03,2.789047747002880495e+00,2.787444122127290758e+00,-1.603624875589737542e-03,3.753278033050255758e-03
8.800000000000000000e+01,1.893482030675554479e-03,1.900605759597889018e-03,2.788637177279591040e+00,2.787114404540681267e+00,-1.522772738909772272e-03,3.762237405439128324e-03
8.900000000000000000e+01,1.863891100669955343e-03,1.870919153137869974e-03,2.788168602006942720e+00,2.786727586342692131e+00,-1.441015664250588912e-03,3.770634703598618742e-03
9.000000000000000000e+01,1.835090540288496826e-03,1.842024388633100142e-03,2.787643204473532421e+00,2.786284807131558683e+00,-1.358397341973738293e-03,3.778477515073097592e-03
9.100000000000000000e+01,1.807051348734078780e-03,1.813892435711045477e-03,2.787062142873411918e+00,2.785787178764794092e+00,-1.274964108617826497e-03,3.785773426836502864e-03
9.200000000000000000e+01,1.779745876505144184e-03,1.786495616203844384e-03,2.786426550867236340e+00,2.785235786158219540e+00,-1.190764709016800538e-03,3.792530039150587839e-03
9.300000000000000000e+01,1.753147749124400355e-03,1.759807527862504960e-03,2.785737538133619129e+00,2.784631688067615407e+00,-1.105850066003721821e-03,3.798754977400342625e-03
9.400000000000000000e+01,1.727231795917721566e-03,1.733802973117974872e-03,2.784996190909486469e+00,2.783975917852034687e+00,-1.020273057451781540e-03,3.804455902087999775e-03
9.500000000000000000e+01,1.701973983460053482e-03,1.708457892506540059e-03,2.784203572520993042e+00,2.783269484219104584e+00,-9.340883018884582611e-04,3.809640517127732551e-03
9.600000000000000000e+01,1.677351353337855604e-03,1.683749302409693433e-03,2.783360723902865264e+00,2.782513371951182091e+00,-8.473519516831728993e-04,3.814316576611131993e-03
9.700000000000000000e+01,1.653341963907283647e-03,1.659655236788118741e-03,2.782468664107155654e+00,2.781708542612752133e+00,-7.601214944035206145e-04,3.818491890156261448e-03
9.800000000000000000e+01,1.629924835754088591e-03,1.636154692616234672e-03,2.781528390801995432e+00,2.780855935238669474e+00,-6.724555633259576837e-04,3.822174326992167082e-03
9.900000000000000000e+01,1.607079900585617555e-03,1.613227578748012035e-03,2.780540880758076483e+00,2.779956467003627640e+00,-5.844137544488425817e-04,3.825371818883649411e-03
1.000000000000000000e+02,1.584787953307392272e-03,1.590854667966849420e-03,2.779507090325426422e+00,2.779011033872258896e+00,-4.960564531675260014e-04,3.828092362007318172e-03
1.010000000000000000e+02,1.563030607056815381e-03,1.569017551992341400e-03,2.778427955899247070e+00,2.778020511230452350e+00,-4.074446687947208545e-04,3.830344017894393716e-03
1.020000000000000000e+02,1.541790250984889036e-03,1.547698599235014603e-03,2.777304394374331409e+00,2.776985754497900416e+00,-3.186398764309927856e-04,3.832134913521079156e-03
1.030000000000000000e+02,1.521050010593444444e-03,1.526880915106733653e-03,2.776137303589599092e+00,2.775907599722550856e+00,-2.297038670482365319e-04,3.833473240642648605e-03
1.040000000000000000e+02,1.500793710450580142e-03,1.506548304709615527e-03,2.774927562761990707e+00,2.774786864156412403e+00,-1.406986055783043810e-04,3.834367254449411178e-03
1.050000000000000000e+02,1.481005839120856432e-03,1.486685237740143720e-03,2.773676032909941913e+00,2.773624346813050590e+00,-5.168609689132352969e-05,3.834825271626707277e-03
1.060000000000000000e+02,1.461671516159444937e-03,1.467276815457771617e-03,2.772383557266780318e+00,2.772420829008623855e+00,3.727174184353643227e-05,3.834855667882663965e-03
1.070000000000000000e+02,1.442776461030991809e-03,1.448308739578855336e-03,2.771050961683830582e+00,2.771177074884958458e+00,1.261132011278753851e-04,3.834466875007214171e-03
1.080000000000000000e+02,1.424306963824540978e-03,1.429767282967337469e-03,2.769679055024338865e+00,2.769893831915035687e+00,2.147768906968217095e-04,3.833667377525440401e-03
1.090000000000000000e+02,1.406249857645527554e-03,1.411639262003252116e-03,2.768268629547298687e+00,2.768571831393724203e+00,3.032018464255159529e-04,3.832465709008525678e-03
1.100000000000000000e+02,1.388592492574766040e-03,1.393912010518973902e-03,2.766820461281808807e+00,2.767211788911311476e+00,3.913276295026690832e-04,3.830870448063850020e-03
1.110000000000000000e+02,1.371322711092453272e-03,1.376573355201314184e-03,2.765335310392710078e+00,2.765814404810857496e+00,4.790944181474188213e-04,3.828890214089719635e-03
1.120000000000000000e+02,1.354428824872717192e-03,1.359611592364968428e-03,2.763813921536955931e+00,2.764380364631596976e+00,5.664430946410448087e-04,3.826533662806719249e-03
1.130000000000000000e+02,1.337899592861076887e-03,1.343015466009714028e-03,2.762257024210967415e+00,2.762910339536972959e+00,6.533153260055435396e-04,3.823809481619644401e-03
1.140000000000000000e+02,1.321724200553518053e-03,1.326774147080045374e-03,2.760665333089769913e+00,2.761404986727796107e+00,7.396536380261942156e-04,3.820726384833106337e-03
1.150000000000000000e+02,1.305892240401656818e-03,1.310877213851745996e-03,2.759039548357965721e+00,2.759864949841959181e+00,8.254014839934598058e-04,3.817293108775876576e-03
1.160000000000000000e+02,1.290393693273848841e-03,1.295314633375211320e-03,2.757380356031782220e+00,2.758290859340785772e+00,9.105033090035519194e-04,3.813518406834193186e-03
1.170000000000000000e+02,1.275218910906996371e-03,1.280076743910287321e-03,2.755688428274044810e+00,2.756683332881484816e+00,9.949046074400058615e-04,3.809411044442434502e-03
1.180000000000000000e+02,1.260358599288356187e-03,1.265154238291906277e-03,2.753964423701104280e+00,2.755042975677675976e+00,1.078551976571695548e-03,3.804979794050478148e-03
1.190000000000000000e+02,1.245803802910844769e-03,1.250538148169991074e-03,2.752208987682050356e+00,2.753370380847078636e+00,1.161393165028279384e-03,3.800233430083066466e-03
1.200000000000000000e+02,1.231545889849199006e-03,1.236219829070976791e-03,2.750422752630666601e+00,2.751666129747374789e+00,1.243377116708188623e-03,3.795180723919377996e-03
1.210000000000000000e+02,1.217576537607927955e-03,1.222190946231851939e-03,2.748606338290663587e+00,2.749930792301271243e+00,1.324454010607656329e-03,3.789830438905683607e-03
1.220000000000000000e+02,1.203887719695288664e-03,1.208443461160937146e-03,2.746760352013839057e+00,2.748164927308871519e+00,1.404575295032461923e-03,3.784191325418184704e-03
1.230000000000000000e+02,1.190471692880588862e-03,1.194969618882686137e-03,2.744885389030604195e+00,2.746369082750945267e+00,1.483693720341072719e-03,3.778272115999348202e-03
1.240000000000000000e+02,1.177320985094943481e-03,1.181761935826578696e-03,2.742982032715890472e+00,2.744543796081468479e+00,1.561763365578006102e-03,3.772081520552417189e-03
1.250000000000000000e+02,1.164428383938211423e-03,1.168813188322863047e-03,2.741050854846837748e+00,2.742689594508875839e+00,1.638739662038091183e-03,3.765628221653161134e-03
1.260000000000000000e+02,1.151786925757329431e-03,1.156116401670275818e-03,2.739092415854659457e+00,2.740806995269323476e+00,1.714579414664019197e-03,3.758920869934012643e-03
1.270000000000000000e+02,1.139389885263430036e-03,1.143664839743152800e-03,2.737107265071808904e+00,2.738896505889724331e+00,1.789240817915427328e-03,3.751968079595879857e-03
1.280000000000000000e+02,1.127230765657298963e-03,1.131451995107429732e-03,2.735095940971369100e+00,2.736958624442352050e+00,1.862683470982950951e-03,3.744778424025207997e-03
1.290000000000000000e+02,1.115303289234622795e-03,1.119471579616966974e-03,2.733058971402619441e+00,2.734993839790149206e+00,1.934868387529764533e-03,3.737360431533165439e-03
1.300000000000000000e+02,1.103601388444294803e-03,1.107717515463456457e-03,2.730996873819404591e+00,2.733002631823756801e+00,2.005758004352209412e-03,3.729722581233829715e-03
1.310000000000000000e+02,1.092119197374744922e-03,1.096183926654821592e-03,2.728910155503869728e+00,2.730985471691486310e+00,2.075316187616582653e-03,3.721873299038724880e-03
1.320000000000000000e+02,1.080851043644778190e-03,1.084865130898601164e-03,2.726799313785852608e+00,2.728942822020532066e+00,2.143508234679458724e-03,3.713820953798574465e-03
1.330000000000000000e+02,1.069791440676901711e-03,1.073755631868260211e-03,2.724664836255361600e+00,2.726875137130858384e+00,2.210300875496784556e-03,3.705573853582277977e-03
1.340000000000000000e+02,1.058935080332452493e-03,1.062850111831715495e-03,2.722507200971255426e+00,2.724782863242215303e+00,2.275662270959877276e-03,3.697140242094887341e-03
1.350000000000000000e+02,1.048276825889094422e-03,1.052143424622632370e-03,2.720326876665668081e+00,2.722666438674434808e+00,2.339562008766726819e-03,3.688528295241466637e-03
1.360000000000000000e+02,1.037811705342438565e-03,1.041630588936219006e-03,2.718124322942023330e+00,2.720526294040342297e+00,2.401971098318966824e-03,3.679746117837723318e-03
1.370000000000000000e+02,1.027534905014644258e-03,1.031306781932355083e-03,2.715899990469796244e+00,2.718362852433040544e+00,2.462861963244300512e-03,3.670801740459639362e-03
1.380000000000000000e+02,1.017441763453849840e-03,1.021167333129889250e-03,2.713654321174907569e+00,2.716176529606648238e+00,2.522208431740668999e-03,3.661703116444092743e-03
1.390000000000000000e+02,1.007527765609279348e-03,1.011207718576931760e-03,2.711387748424798794e+00,2.713967734150827482e+00,2.579985726028688475e-03,3.652458119034696082e-03
1.400000000000000000e+02,9.977885372677288908e-04,1.001423555282824045e-03,2.709100697210556241e+00,2.711736867660703432e+00,2.636170450147190536e-03,3.643074538668411577e-03
1.410000000000000000e+02,9.882198397379885965e-04,9.918105958983296829e-04,2.706793584323871293e+00,2.709484324899806396e+00,2.690740575935102186e-03,3.633560080410047632e-03
1.420000000000000000e+02,9.788175647705349078e-04,9.823647236313626241e-04,2.704466818530394168e+00,2.707210493958803088e+00,2.743675428408920425e-03,3.623922361527309732e-03
1.430000000000000000e+02,9.695777297005474943e-04,9.730819473862890910e-04,2.702120800739915563e+00,2.704915756408886818e+00,2.794955668971255136e-03,3.614168909205295321e-03
1.440000000000000000e+02,9.604964728029962177e-04,9.639583971155429257e-04,2.699755924171202803e+00,2.702600487449956734e+00,2.844563278753931002e-03,3.604307158405095635e-03
