sigma,P_mean,Ds_of_mean_P,mean_of_Ds
2.210000000000000000e+02,1.097098517119024378e-03,1.673693331480535118e+00,1.691852653417883490e+00
2.220000000000000000e+02,1.092964556921300181e-03,1.671210604300335412e+00,1.689347689804763908e+00
2.230000000000000000e+02,1.088870706498973502e-03,1.668741057901184321e+00,1.686855517646206781e+00
2.240000000000000000e+02,1.084816380891341853e-03,1.666284612555070099e+00,1.684376065694994207e+00
2.250000000000000000e+02,1.080801006307335454e-03,1.663841188827178685e+00,1.681909262866843058e+00
2.260000000000000000e+02,1.076824019863697373e-03,1.661410707581543189e+00,1.679455038247724019e+00
2.270000000000000000e+02,1.072884869330421528e-03,1.658993089987090164e+00,1.677013321101241239e+00
2.280000000000000000e+02,1.068983012883208952e-03,1.656588257522842778e+00,1.674584040875031876e+00
2.290000000000000000e+02,1.065117918862729801e-03,1.654196131982871076e+00,1.672167127207518478e+00
2.300000000000000000e+02,1.061289065540464965e-03,1.651816635481418327e+00,1.669762509934251460e+00
2.310000000000000000e+02,1.057495940890928630e-03,1.649449690457262196e+00,1.667370119093884551e+00
2.320000000000000000e+02,1.053738042370065166e-03,1.647095219678291755e+00,1.664989884934021003e+00
2.330000000000000000e+02,1.050014876699631667e-03,1.644753146245812037e+00,1.662621737916920139e+00
2.340000000000000000e+02,1.046325959657375777e-03,1.642423393598379633e+00,1.660265608725045361e+00
2.350000000000000000e+02,1.042670815872834451e-03,1.640105885515505735e+00,1.657921428265844321e+00
2.360000000000000000e+02,1.039048978628574543e-03,1.637800546121397360e+00,1.655589127677018269e+00
2.370000000000000000e+02,1.035459989666712589e-03,1.635507299888186994e+00,1.653268638331648610e+00
2.380000000000000000e+02,1.031903399000548994e-03,1.633226071639326538e+00,1.650959891842201266e+00
2.390000000000000000e+02,1.028378764731162440e-03,1.630956786552140381e+00,1.648662820065165402e+00
2.400000000000000000e+02,1.024885652868815118e-03,1.628699370161464266e+00,1.646377355105722362e+00
2.410000000000000000e+02,1.021423637159016773e-03,1.626453748361633034e+00,1.644103429321183585e+00
2.420000000000000000e+02,1.017992298913120283e-03,1.624219847408931994e+00,1.641840975325294272e+00
2.430000000000000000e+02,1.014591226843297202e-03,1.621997593924648484e+00,1.639589925991913777e+00
2.440000000000000000e+02,1.011220016901775076e-03,1.619786914896577779e+00,1.637350214458313857e+00
2.450000000000000000e+02,1.007878272124202975e-03,1.617587737681146720e+00,1.635121774129035366e+00
2.460000000000000000e+02,1.004565602477026616e-03,1.615399990005957243e+00,1.632904538679069706e+00
2.470000000000000000e+02,1.001281624708748839e-03,1.613223599970551758e+00,1.630698442056426112e+00
2.480000000000000000e+02,9.980259622049739415e-04,1.611058496048785038e+00,1.628503418485874654e+00
2.490000000000000000e+02,9.947982448471053441e-04,1.608904607090350991e+00,1.626319402471358533e+00
2.500000000000000000e+02,9.915981088746128862e-04,1.606761862321230305e+00,1.624146328798655503e+00
2.510000000000000000e+02,9.884251967507470121e-04,1.604630191346238410e+00,1.621984132538325962e+00
2.520000000000000000e+02,9.852791570316105172e-04,1.602509524149211328e+00,1.619832749047540599e+00
2.530000000000000000e+02,9.821596442384896222e-04,1.600399791094493596e+00,1.617692113973079771e+00
2.540000000000000000e+02,9.790663187333467979e-04,1.598300922927484047e+00,1.615562163253033479e+00
2.550000000000000000e+02,9.759988465973922899e-04,1.596212850775711845e+00,1.613442833118975628e+00
2.560000000000000000e+02,9.729568995126368748e-04,1.594135506149644943e+00,1.611334060098181808e+00
2.570000000000000000e+02,9.699401546463517956e-04,1.592068820942858176e+00,1.609235781015056821e+00
2.580000000000000000e+02,9.669482945383452372e-04,1.590012727432784878e+00,1.607147932993131079e+00
2.590000000000000000e+02,9.639810069909820513e-04,1.587967158281470281e+00,1.605070453457064339e+00
2.600000000000000000e+02,9.610379849618634618e-04,1.585932046535116768e+00,1.603003280133262098e+00
2.610000000000000000e+02,9.581189264591030014e-04,1.583907325624979823e+00,1.600946351052172423e+00
2.620000000000000000e+02,9.552235344391105326e-04,1.581892929367205936e+00,1.598899604549124387e+00
2.630000000000000000e+02,9.523515167068343727e-04,1.579888791962979822e+00,1.596862979265712967e+00
2.640000000000000000e+02,9.495025858183726158e-04,1.577894847998871475e+00,1.594836414151393988e+00
2.650000000000000000e+02,9.466764589859085529e-04,1.575911032445557858e+00,1.592819848463548293e+00
2.660000000000000000e+02,9.438728579848919059e-04,1.573937280659178484e+00,1.590813221769405761e+00
2.670000000000000000e+02,9.410915090634095013e-04,1.571973528380574026e+00,1.588816473946615737e+00
2.680000000000000000e+02,9.383321428536881351e-04,1.570019711734157219e+00,1.586829545183899182e+00
2.690000000000000000e+02,9.355944942856705407e-04,1.568075767228464645e+00,1.584852375981932848e+00
2.700000000000000000e+02,9.328783025026036362e-04,1.566141631755918473e+00,1.582884907154086029e+00
2.710000000000000000e+02,9.301833107785923219e-04,1.564217242591624757e+00,1.580927079826937032e+00
2.720000000000000000e+02,9.275092664380617984e-04,1.562302537392891155e+00,1.578978835440651762e+00
