k0,sigma,P_mean,Ds_of_mean_P,mean_Ds
5.000000000000000000e-01,1.530000000000000000e+02,7.648113796126860186e-04,2.944994987662810981e+00,2.945199488313841485e+00
5.000000000000000000e-01,1.540000000000000000e+02,7.575109376532662047e-04,2.944377921716998081e+00,2.944586470341730156e+00
5.000000000000000000e-01,1.550000000000000000e+02,7.503282725978456394e-04,2.943744773262487957e+00,2.943957450576162316e+00
5.000000000000000000e-01,1.560000000000000000e+02,7.432607768100985956e-04,2.943095763524369968e+00,2.943312648998025693e+00
5.000000000000000000e-01,1.570000000000000000e+02,7.363059159092326042e-04,2.942431109994077865e+00,2.942652281832131234e+00
5.000000000000000000e-01,1.580000000000000000e+02,7.294612262786080888e-04,2.941751026517304801e+00,2.941976561636947096e+00
5.000000000000000000e-01,1.590000000000000000e+02,7.227243126737283811e-04,2.941055723380057607e+00,2.941285697392336917e+00
5.000000000000000000e-01,1.600000000000000000e+02,7.160928459250547095e-04,2.940345407391072641e+00,2.940579894584151255e+00
5.000000000000000000e-01,1.610000000000000000e+02,7.095645607313450214e-04,2.939620281962434412e+00,2.939859355286146059e+00
5.000000000000000000e-01,1.620000000000000000e+02,7.031372535394172715e-04,2.938880547188293502e+00,2.939124278240394794e+00
5.000000000000000000e-01,1.630000000000000000e+02,6.968087805064660314e-04,2.938126399920403919e+00,2.938374858934496014e+00
5.000000000000000000e-01,1.640000000000000000e+02,6.905770555412430985e-04,2.937358033841622973e+00,2.937611289676635540e+00
5.000000000000000000e-01,1.650000000000000000e+02,6.844400484206077193e-04,2.936575639537512217e+00,2.936833759668654675e+00
5.000000000000000000e-01,1.660000000000000000e+02,6.783957829781168437e-04,2.935779404566084327e+00,2.936042455076960600e+00
5.000000000000000000e-01,1.670000000000000000e+02,6.724423353615014646e-04,2.934969513525222951e+00,2.935237559101409044e+00
5.000000000000000000e-01,1.680000000000000000e+02,6.665778323560227680e-04,2.934146148118062847e+00,2.934419252041950532e+00
5.000000000000000000e-01,1.690000000000000000e+02,6.608004497708567506e-04,2.933309487216109623e+00,2.933587711363212946e+00
5.000000000000000000e-01,1.700000000000000000e+02,6.551084108857888836e-04,2.932459706921774156e+00,2.932743111757875276e+00
5.000000000000000000e-01,1.710000000000000000e+02,6.494999849556324593e-04,2.931596980628618621e+00,2.931885625208017210e+00
5.000000000000000000e-01,1.720000000000000000e+02,6.439734857699159869e-04,2.930721479078556069e+00,2.931015421043666080e+00
5.000000000000000000e-01,1.730000000000000000e+02,6.385272702654988444e-04,2.929833370419299587e+00,2.930132666000976993e+00
5.000000000000000000e-01,1.740000000000000000e+02,6.331597371898778272e-04,2.928932820259605663e+00,2.929237524278561544e+00
5.000000000000000000e-01,1.750000000000000000e+02,6.278693258130713757e-04,2.928019991722167426e+00,2.928330157591260363e+00
5.000000000000000000e-01,1.760000000000000000e+02,6.226545146860504440e-04,2.927095045495806680e+00,2.927410725223241972e+00
5.000000000000000000e-01,1.770000000000000000e+02,6.175138204437922041e-04,2.926158139886049003e+00,2.926479384079392787e+00
5.000000000000000000e-01,1.780000000000000000e+02,6.124457966511140904e-04,2.925209430864434967e+00,2.925536288735368196e+00
5.000000000000000000e-01,1.790000000000000000e+02,6.074490326895387159e-04,2.924249072116022585e+00,2.924581591485685195e+00
5.000000000000000000e-01,1.800000000000000000e+02,6.025221526835154370e-04,2.923277215085731129e+00,2.923615442390988584e+00
5.000000000000000000e-01,1.810000000000000000e+02,5.976638144644046786e-04,2.922294009023627126e+00,2.922637989323924490e+00
5.000000000000000000e-01,1.820000000000000000e+02,5.928727085707003082e-04,2.921299601028985116e+00,2.921649378013724707e+00
5.000000000000000000e-01,1.830000000000000000e+02,5.881475572830389617e-04,2.920294136092342896e+00,2.920649752088876117e+00
5.000000000000000000e-01,1.840000000000000000e+02,5.834871136926090846e-04,2.919277757137759277e+00,2.919639253119904687e+00
5.000000000000000000e-01,1.850000000000000000e+02,5.788901608016294806e-04,2.918250605062834957e+00,2.918618020659917267e+00
5.000000000000000000e-01,1.860000000000000000e+02,5.743555106546400189e-04,2.917212818777676464e+00,2.917586192284131741e+00
5.000000000000000000e-01,1.870000000000000000e+02,5.698820034993858563e-04,2.916164535243598976e+00,2.916543903628814327e+00
5.000000000000000000e-01,1.880000000000000000e+02,5.654685069761454866e-04,2.915105889510286818e+00,2.915491288428837091e+00
5.000000000000000000e-01,1.890000000000000000e+02,5.611139153343925028e-04,2.914037014751732713e+00,2.914428478554240698e+00
5.000000000000000000e-01,1.900000000000000000e+02,5.568171486757397207e-04,2.912958042301428740e+00,2.913355604045420044e+00
5.000000000000000000e-01,1.910000000000000000e+02,5.525771522221485741e-04,2.911869101686623384e+00,2.912272793148075412e+00
5.000000000000000000e-01,1.920000000000000000e+02,5.483928956084430702e-04,2.910770320662049215e+00,2.911180172347087591e+00
5.000000000000000000e-01,1.930000000000000000e+02,5.442633721981955663e-04,2.909661825242221500e+00,2.910077866398808499e+00
5.000000000000000000e-01,1.940000000000000000e+02,5.401875984221078978e-04,2.908543739732849076e+00,2.908965998362973870e+00
5.000000000000000000e-01,1.950000000000000000e+02,5.361646131380309052e-04,2.907416186761868637e+00,2.907844689634074165e+00
5.000000000000000000e-01,1.960000000000000000e+02,5.321934770118185321e-04,2.906279287309388781e+00,2.906714059971210684e+00
5.000000000000000000e-01,1.970000000000000000e+02,5.282732719182318569e-04,2.905133160736832032e+00,2.905574227527680797e+00
5.000000000000000000e-01,1.980000000000000000e+02,5.244031003611555842e-04,2.903977924815667855e+00,2.904425308879527101e+00
5.000000000000000000e-01,1.990000000000000000e+02,5.205820849124051346e-04,2.902813695755078971e+00,2.903267419053508824e+00
5.000000000000000000e-01,2.000000000000000000e+02,5.168093676684497404e-04,2.901640588228726614e+00,2.902100671554161071e+00
5.000000000000000000e-01,2.010000000000000000e+02,5.130841097243871510e-04,2.900458715401398546e+00,2.900925178390412196e+00
5.000000000000000000e-01,2.020000000000000000e+02,5.094054906645489140e-04,2.899268188954662762e+00,2.899741050101110940e+00
5.000000000000000000e-01,2.030000000000000000e+02,5.057727080691269131e-04,2.898069119112050895e+00,2.898548395780348397e+00
5.000000000000000000e-01,2.040000000000000000e+02,5.021849770362493519e-04,2.896861614663049256e+00,2.897347323101949979e+00
5.000000000000000000e-01,2.050000000000000000e+02,4.986415297189467381e-04,2.895645782987316785e+00,2.896137938343253282e+00
5.000000000000000000e-01,2.060000000000000000e+02,4.951416148764785580e-04,2.894421730078097887e+00,2.894920346408479173e+00
5.000000000000000000e-01,2.070000000000000000e+02,4.916844974395077070e-04,2.893189560564419782e+00,2.893694650851247108e+00
5.000000000000000000e-01,2.080000000000000000e+02,4.882694580886363022e-04,2.891949377733388005e+00,2.892460953896993203e+00
5.000000000000000000e-01,2.090000000000000000e+02,4.848957928458266960e-04,2.890701283552368217e+00,2.891219356464414858e+00
5.000000000000000000e-01,2.100000000000000000e+02,4.815628126782603479e-04,2.889445378689040833e+00,2.889969958186337173e+00
5.000000000000000000e-01,2.110000000000000000e+02,4.782698431141995743e-04,2.888181762532746166e+00,2.888712857430677960e+00
5.000000000000000000e-01,2.120000000000000000e+02,4.750162238704317753e-04,2.886910533214656738e+00,2.887448151320374023e+00
5.000000000000000000e-01,2.130000000000000000e+02,4.718013084909005134e-04,2.885631787626735001e+00,2.886175935752662181e+00
5.000000000000000000e-01,2.140000000000000000e+02,4.686244639961349213e-04,2.884345621441698260e+00,2.884896305418625850e+00
5.000000000000000000e-01,2.150000000000000000e+02,4.654850705431074539e-04,2.883052129131111752e+00,2.883609353821662058e+00
